sample_id,sequence_cluster_id
CYCPEPTMPDB_PAMPA_000108,138
CYCPEPTMPDB_PAMPA_000172,138
CYCPEPTMPDB_PAMPA_000553,138
CYCPEPTMPDB_PAMPA_000558,138
CYCPEPTMPDB_PAMPA_000109,139
CYCPEPTMPDB_PAMPA_000475,139
CYCPEPTMPDB_PAMPA_000116,140
CYCPEPTMPDB_PAMPA_000117,141
CYCPEPTMPDB_PAMPA_000118,142
CYCPEPTMPDB_PAMPA_000119,143
CYCPEPTMPDB_PAMPA_000122,144
CYCPEPTMPDB_PAMPA_000171,145
CYCPEPTMPDB_PAMPA_000174,146
CYCPEPTMPDB_PAMPA_000175,147
CYCPEPTMPDB_PAMPA_000176,148
CYCPEPTMPDB_PAMPA_000177,149
CYCPEPTMPDB_PAMPA_000285,149
CYCPEPTMPDB_PAMPA_000288,149
CYCPEPTMPDB_PAMPA_000178,150
CYCPEPTMPDB_PAMPA_000179,151
CYCPEPTMPDB_PAMPA_000193,152
CYCPEPTMPDB_PAMPA_000380,152
CYCPEPTMPDB_PAMPA_000194,153
CYCPEPTMPDB_PAMPA_000196,154
CYCPEPTMPDB_PAMPA_000299,154
CYCPEPTMPDB_PAMPA_000197,155
CYCPEPTMPDB_PAMPA_000296,155
CYCPEPTMPDB_PAMPA_000293,155
CYCPEPTMPDB_PAMPA_000298,155
CYCPEPTMPDB_PAMPA_000198,156
CYCPEPTMPDB_PAMPA_000389,156
CYCPEPTMPDB_PAMPA_000200,157
CYCPEPTMPDB_PAMPA_000201,158
CYCPEPTMPDB_PAMPA_000202,159
CYCPEPTMPDB_PAMPA_000203,160
CYCPEPTMPDB_PAMPA_000698,160
CYCPEPTMPDB_PAMPA_000205,161
CYCPEPTMPDB_PAMPA_000207,161
CYCPEPTMPDB_PAMPA_000206,162
CYCPEPTMPDB_PAMPA_000208,163
CYCPEPTMPDB_PAMPA_000272,164
CYCPEPTMPDB_PAMPA_000274,165
CYCPEPTMPDB_PAMPA_000364,165
CYCPEPTMPDB_PAMPA_000278,166
CYCPEPTMPDB_PAMPA_000280,167
CYCPEPTMPDB_PAMPA_000474,167
CYCPEPTMPDB_PAMPA_000283,168
CYCPEPTMPDB_PAMPA_000290,169
CYCPEPTMPDB_PAMPA_000301,170
CYCPEPTMPDB_PAMPA_000302,171
CYCPEPTMPDB_PAMPA_000453,171
CYCPEPTMPDB_PAMPA_000303,172
CYCPEPTMPDB_PAMPA_000333,173
CYCPEPTMPDB_PAMPA_000334,174
CYCPEPTMPDB_PAMPA_000353,174
CYCPEPTMPDB_PAMPA_000435,174
CYCPEPTMPDB_PAMPA_000335,175
CYCPEPTMPDB_PAMPA_000336,176
CYCPEPTMPDB_PAMPA_000337,177
CYCPEPTMPDB_PAMPA_000338,178
CYCPEPTMPDB_PAMPA_000432,178
CYCPEPTMPDB_PAMPA_000442,178
CYCPEPTMPDB_PAMPA_000339,179
CYCPEPTMPDB_PAMPA_000340,180
CYCPEPTMPDB_PAMPA_000348,181
CYCPEPTMPDB_PAMPA_000349,182
CYCPEPTMPDB_PAMPA_000350,183
CYCPEPTMPDB_PAMPA_000354,184
CYCPEPTMPDB_PAMPA_000355,185
CYCPEPTMPDB_PAMPA_000476,185
CYCPEPTMPDB_PAMPA_000358,185
CYCPEPTMPDB_PAMPA_000359,186
CYCPEPTMPDB_PAMPA_000360,187
CYCPEPTMPDB_PAMPA_000437,187
CYCPEPTMPDB_PAMPA_000361,188
CYCPEPTMPDB_PAMPA_000376,189
CYCPEPTMPDB_PAMPA_000381,190
CYCPEPTMPDB_PAMPA_000382,191
CYCPEPTMPDB_PAMPA_000383,192
CYCPEPTMPDB_PAMPA_000384,193
CYCPEPTMPDB_PAMPA_000385,194
CYCPEPTMPDB_PAMPA_000366,194
CYCPEPTMPDB_PAMPA_000390,195
CYCPEPTMPDB_PAMPA_000391,196
CYCPEPTMPDB_PAMPA_000392,197
CYCPEPTMPDB_PAMPA_000393,198
CYCPEPTMPDB_PAMPA_000449,198
CYCPEPTMPDB_PAMPA_000394,199
CYCPEPTMPDB_PAMPA_000430,200
CYCPEPTMPDB_PAMPA_000431,201
CYCPEPTMPDB_PAMPA_000433,202
CYCPEPTMPDB_PAMPA_000447,203
CYCPEPTMPDB_PAMPA_000448,204
CYCPEPTMPDB_PAMPA_000450,205
CYCPEPTMPDB_PAMPA_000451,206
CYCPEPTMPDB_PAMPA_000454,207
CYCPEPTMPDB_PAMPA_000477,208
CYCPEPTMPDB_PAMPA_000495,209
CYCPEPTMPDB_PAMPA_000533,210
CYCPEPTMPDB_PAMPA_000540,211
CYCPEPTMPDB_PAMPA_000554,212
CYCPEPTMPDB_PAMPA_000555,213
CYCPEPTMPDB_PAMPA_000557,213
CYCPEPTMPDB_PAMPA_000556,214
CYCPEPTMPDB_PAMPA_000559,215
CYCPEPTMPDB_PAMPA_000569,216
CYCPEPTMPDB_PAMPA_000579,217
CYCPEPTMPDB_PAMPA_000602,218
CYCPEPTMPDB_PAMPA_000603,218
CYCPEPTMPDB_PAMPA_000605,218
CYCPEPTMPDB_PAMPA_000690,219
CYCPEPTMPDB_PAMPA_000691,220
CYCPEPTMPDB_PAMPA_000693,221
CYCPEPTMPDB_PAMPA_000695,222
CYCPEPTMPDB_PAMPA_000700,222
CYCPEPTMPDB_PAMPA_000696,223
CYCPEPTMPDB_PAMPA_000697,224
CYCPEPTMPDB_PAMPA_000699,224
CYCPEPTMPDB_PAMPA_000754,224
CYCPEPTMPDB_PAMPA_000746,225
CYCPEPTMPDB_PAMPA_000748,226
CYCPEPTMPDB_PAMPA_000765,226
CYCPEPTMPDB_PAMPA_000752,227
CYCPEPTMPDB_PAMPA_000767,227
CYCPEPTMPDB_PAMPA_000848,228
CYCPEPTMPDB_PAMPA_000849,229
CYCPEPTMPDB_PAMPA_000850,230
CYCPEPTMPDB_PAMPA_000851,231
CYCPEPTMPDB_PAMPA_000852,232
CYCPEPTMPDB_PAMPA_000853,233
CYCPEPTMPDB_PAMPA_000865,234
CYCPEPTMPDB_PAMPA_000866,235
CYCPEPTMPDB_PAMPA_000867,236
CYCPEPTMPDB_PAMPA_000868,237
CYCPEPTMPDB_PAMPA_000869,238
CYCPEPTMPDB_PAMPA_006839,239
CYCPEPTMPDB_PAMPA_006840,240
CYCPEPTMPDB_PAMPA_006841,241
CYCPEPTMPDB_PAMPA_000000,242
CYCPEPTMPDB_PAMPA_000899,242
CYCPEPTMPDB_PAMPA_000900,242
CYCPEPTMPDB_PAMPA_000903,242
CYCPEPTMPDB_PAMPA_000904,242
CYCPEPTMPDB_PAMPA_001742,242
CYCPEPTMPDB_PAMPA_001849,242
CYCPEPTMPDB_PAMPA_001852,242
CYCPEPTMPDB_PAMPA_001853,242
CYCPEPTMPDB_PAMPA_006680,242
CYCPEPTMPDB_PAMPA_006842,242
CYCPEPTMPDB_PAMPA_000901,242
CYCPEPTMPDB_PAMPA_001848,242
CYCPEPTMPDB_PAMPA_000902,242
CYCPEPTMPDB_PAMPA_001854,242
CYCPEPTMPDB_PAMPA_000905,242
CYCPEPTMPDB_PAMPA_001856,242
CYCPEPTMPDB_PAMPA_001851,242
CYCPEPTMPDB_PAMPA_000906,242
CYCPEPTMPDB_PAMPA_000029,243
CYCPEPTMPDB_PAMPA_000037,244
CYCPEPTMPDB_PAMPA_000038,245
CYCPEPTMPDB_PAMPA_000709,245
CYCPEPTMPDB_PAMPA_000039,246
CYCPEPTMPDB_PAMPA_000259,246
CYCPEPTMPDB_PAMPA_000040,247
CYCPEPTMPDB_PAMPA_000081,247
CYCPEPTMPDB_PAMPA_000085,247
CYCPEPTMPDB_PAMPA_000088,247
CYCPEPTMPDB_PAMPA_000056,248
CYCPEPTMPDB_PAMPA_000057,249
CYCPEPTMPDB_PAMPA_000058,250
CYCPEPTMPDB_PAMPA_000522,250
CYCPEPTMPDB_PAMPA_000523,250
CYCPEPTMPDB_PAMPA_000706,250
CYCPEPTMPDB_PAMPA_000059,251
CYCPEPTMPDB_PAMPA_000060,252
CYCPEPTMPDB_PAMPA_000061,253
CYCPEPTMPDB_PAMPA_000080,254
CYCPEPTMPDB_PAMPA_000702,254
CYCPEPTMPDB_PAMPA_000082,255
CYCPEPTMPDB_PAMPA_000086,255
CYCPEPTMPDB_PAMPA_000090,255
CYCPEPTMPDB_PAMPA_000216,255
CYCPEPTMPDB_PAMPA_000083,256
CYCPEPTMPDB_PAMPA_000084,257
CYCPEPTMPDB_PAMPA_000087,258
CYCPEPTMPDB_PAMPA_000089,259
CYCPEPTMPDB_PAMPA_000091,260
CYCPEPTMPDB_PAMPA_000092,261
CYCPEPTMPDB_PAMPA_000093,262
CYCPEPTMPDB_PAMPA_000094,263
CYCPEPTMPDB_PAMPA_000095,264
CYCPEPTMPDB_PAMPA_000096,265
CYCPEPTMPDB_PAMPA_000529,265
CYCPEPTMPDB_PAMPA_000530,265
CYCPEPTMPDB_PAMPA_000097,266
CYCPEPTMPDB_PAMPA_000708,266
CYCPEPTMPDB_PAMPA_000124,267
CYCPEPTMPDB_PAMPA_000127,268
CYCPEPTMPDB_PAMPA_000674,268
CYCPEPTMPDB_PAMPA_000675,268
CYCPEPTMPDB_PAMPA_000130,269
CYCPEPTMPDB_PAMPA_000670,269
CYCPEPTMPDB_PAMPA_000671,269
CYCPEPTMPDB_PAMPA_000133,270
CYCPEPTMPDB_PAMPA_000135,271
CYCPEPTMPDB_PAMPA_000138,272
CYCPEPTMPDB_PAMPA_000140,273
CYCPEPTMPDB_PAMPA_000228,273
CYCPEPTMPDB_PAMPA_000142,274
CYCPEPTMPDB_PAMPA_000150,274
CYCPEPTMPDB_PAMPA_000143,275
CYCPEPTMPDB_PAMPA_000146,276
CYCPEPTMPDB_PAMPA_000148,277
CYCPEPTMPDB_PAMPA_000149,278
CYCPEPTMPDB_PAMPA_000151,279
CYCPEPTMPDB_PAMPA_000152,280
CYCPEPTMPDB_PAMPA_000180,281
CYCPEPTMPDB_PAMPA_000182,281
CYCPEPTMPDB_PAMPA_000181,282
CYCPEPTMPDB_PAMPA_000297,282
CYCPEPTMPDB_PAMPA_000183,282
CYCPEPTMPDB_PAMPA_000289,282
CYCPEPTMPDB_PAMPA_000184,283
CYCPEPTMPDB_PAMPA_000185,284
CYCPEPTMPDB_PAMPA_000186,285
CYCPEPTMPDB_PAMPA_000209,286
CYCPEPTMPDB_PAMPA_000210,287
CYCPEPTMPDB_PAMPA_000668,287
CYCPEPTMPDB_PAMPA_000669,287
CYCPEPTMPDB_PAMPA_000211,288
CYCPEPTMPDB_PAMPA_000212,289
CYCPEPTMPDB_PAMPA_000213,290
CYCPEPTMPDB_PAMPA_000214,291
CYCPEPTMPDB_PAMPA_000215,292
CYCPEPTMPDB_PAMPA_000217,293
CYCPEPTMPDB_PAMPA_000218,294
CYCPEPTMPDB_PAMPA_000219,295
CYCPEPTMPDB_PAMPA_000711,295
CYCPEPTMPDB_PAMPA_000220,296
CYCPEPTMPDB_PAMPA_000532,296
CYCPEPTMPDB_PAMPA_000222,297
CYCPEPTMPDB_PAMPA_000223,298
CYCPEPTMPDB_PAMPA_000224,299
CYCPEPTMPDB_PAMPA_000225,300
CYCPEPTMPDB_PAMPA_000226,301
CYCPEPTMPDB_PAMPA_000707,301
CYCPEPTMPDB_PAMPA_000229,302
CYCPEPTMPDB_PAMPA_000230,303
CYCPEPTMPDB_PAMPA_000525,303
CYCPEPTMPDB_PAMPA_000526,303
CYCPEPTMPDB_PAMPA_000527,303
CYCPEPTMPDB_PAMPA_000231,304
CYCPEPTMPDB_PAMPA_000233,304
CYCPEPTMPDB_PAMPA_000257,305
CYCPEPTMPDB_PAMPA_000291,306
CYCPEPTMPDB_PAMPA_000362,306
CYCPEPTMPDB_PAMPA_000292,307
CYCPEPTMPDB_PAMPA_000294,308
CYCPEPTMPDB_PAMPA_000295,309
CYCPEPTMPDB_PAMPA_000300,310
CYCPEPTMPDB_PAMPA_000304,311
CYCPEPTMPDB_PAMPA_000399,311
CYCPEPTMPDB_PAMPA_000305,312
CYCPEPTMPDB_PAMPA_000306,313
CYCPEPTMPDB_PAMPA_000672,313
CYCPEPTMPDB_PAMPA_000673,313
CYCPEPTMPDB_PAMPA_000307,314
CYCPEPTMPDB_PAMPA_000308,315
CYCPEPTMPDB_PAMPA_000309,316
CYCPEPTMPDB_PAMPA_000462,316
CYCPEPTMPDB_PAMPA_000666,316
CYCPEPTMPDB_PAMPA_000310,317
CYCPEPTMPDB_PAMPA_000701,317
CYCPEPTMPDB_PAMPA_000311,318
CYCPEPTMPDB_PAMPA_000312,319
CYCPEPTMPDB_PAMPA_000405,319
CYCPEPTMPDB_PAMPA_000341,320
CYCPEPTMPDB_PAMPA_000342,321
CYCPEPTMPDB_PAMPA_000343,322
CYCPEPTMPDB_PAMPA_000356,323
CYCPEPTMPDB_PAMPA_000357,324
CYCPEPTMPDB_PAMPA_000363,325
CYCPEPTMPDB_PAMPA_000370,325
CYCPEPTMPDB_PAMPA_000365,326
CYCPEPTMPDB_PAMPA_000371,327
CYCPEPTMPDB_PAMPA_000445,327
CYCPEPTMPDB_PAMPA_000372,328
CYCPEPTMPDB_PAMPA_000386,329
CYCPEPTMPDB_PAMPA_000387,330
CYCPEPTMPDB_PAMPA_000388,331
CYCPEPTMPDB_PAMPA_000395,332
CYCPEPTMPDB_PAMPA_000396,333
CYCPEPTMPDB_PAMPA_000397,334
CYCPEPTMPDB_PAMPA_000402,334
CYCPEPTMPDB_PAMPA_000463,334
CYCPEPTMPDB_PAMPA_000743,334
CYCPEPTMPDB_PAMPA_000398,335
CYCPEPTMPDB_PAMPA_000464,335
CYCPEPTMPDB_PAMPA_000400,336
CYCPEPTMPDB_PAMPA_000401,337
CYCPEPTMPDB_PAMPA_000403,338
CYCPEPTMPDB_PAMPA_000404,339
CYCPEPTMPDB_PAMPA_000406,340
CYCPEPTMPDB_PAMPA_000446,341
CYCPEPTMPDB_PAMPA_000452,342
CYCPEPTMPDB_PAMPA_000824,342
CYCPEPTMPDB_PAMPA_000455,343
CYCPEPTMPDB_PAMPA_000456,344
CYCPEPTMPDB_PAMPA_000457,345
CYCPEPTMPDB_PAMPA_000458,346
CYCPEPTMPDB_PAMPA_000459,347
CYCPEPTMPDB_PAMPA_000460,348
CYCPEPTMPDB_PAMPA_000465,349
CYCPEPTMPDB_PAMPA_000466,350
CYCPEPTMPDB_PAMPA_000497,351
CYCPEPTMPDB_PAMPA_000498,352
CYCPEPTMPDB_PAMPA_000500,353
CYCPEPTMPDB_PAMPA_000534,354
CYCPEPTMPDB_PAMPA_000536,355
CYCPEPTMPDB_PAMPA_000543,356
CYCPEPTMPDB_PAMPA_000545,357
CYCPEPTMPDB_PAMPA_000570,358
CYCPEPTMPDB_PAMPA_000571,358
CYCPEPTMPDB_PAMPA_000577,358
CYCPEPTMPDB_PAMPA_000572,359
CYCPEPTMPDB_PAMPA_000573,360
CYCPEPTMPDB_PAMPA_000574,361
CYCPEPTMPDB_PAMPA_000575,362
CYCPEPTMPDB_PAMPA_000576,363
CYCPEPTMPDB_PAMPA_000578,364
CYCPEPTMPDB_PAMPA_000580,365
CYCPEPTMPDB_PAMPA_000585,365
CYCPEPTMPDB_PAMPA_000581,366
CYCPEPTMPDB_PAMPA_000582,367
CYCPEPTMPDB_PAMPA_000583,368
CYCPEPTMPDB_PAMPA_000584,369
CYCPEPTMPDB_PAMPA_000586,370
CYCPEPTMPDB_PAMPA_000590,370
CYCPEPTMPDB_PAMPA_000587,371
CYCPEPTMPDB_PAMPA_000596,371
CYCPEPTMPDB_PAMPA_000588,372
CYCPEPTMPDB_PAMPA_000592,372
CYCPEPTMPDB_PAMPA_000589,373
CYCPEPTMPDB_PAMPA_000593,373
CYCPEPTMPDB_PAMPA_000591,374
CYCPEPTMPDB_PAMPA_000594,375
CYCPEPTMPDB_PAMPA_000595,376
CYCPEPTMPDB_PAMPA_000597,377
CYCPEPTMPDB_PAMPA_000598,378
CYCPEPTMPDB_PAMPA_000599,379
CYCPEPTMPDB_PAMPA_000604,380
CYCPEPTMPDB_PAMPA_000609,381
CYCPEPTMPDB_PAMPA_000610,381
CYCPEPTMPDB_PAMPA_000667,382
CYCPEPTMPDB_PAMPA_000703,383
CYCPEPTMPDB_PAMPA_000704,384
CYCPEPTMPDB_PAMPA_000705,384
CYCPEPTMPDB_PAMPA_000710,385
CYCPEPTMPDB_PAMPA_000714,385
CYCPEPTMPDB_PAMPA_000712,386
CYCPEPTMPDB_PAMPA_000713,387
CYCPEPTMPDB_PAMPA_000760,387
CYCPEPTMPDB_PAMPA_000744,388
CYCPEPTMPDB_PAMPA_000753,389
CYCPEPTMPDB_PAMPA_000755,390
CYCPEPTMPDB_PAMPA_000825,391
CYCPEPTMPDB_PAMPA_000827,391
CYCPEPTMPDB_PAMPA_000829,391
CYCPEPTMPDB_PAMPA_000831,391
CYCPEPTMPDB_PAMPA_000833,392
CYCPEPTMPDB_PAMPA_000834,392
CYCPEPTMPDB_PAMPA_000836,393
CYCPEPTMPDB_PAMPA_000837,394
CYCPEPTMPDB_PAMPA_000838,395
CYCPEPTMPDB_PAMPA_000840,396
CYCPEPTMPDB_PAMPA_000841,397
CYCPEPTMPDB_PAMPA_000844,398
CYCPEPTMPDB_PAMPA_000846,399
CYCPEPTMPDB_PAMPA_000854,400
CYCPEPTMPDB_PAMPA_000855,401
CYCPEPTMPDB_PAMPA_000856,402
CYCPEPTMPDB_PAMPA_000857,403
CYCPEPTMPDB_PAMPA_000858,404
CYCPEPTMPDB_PAMPA_000859,405
CYCPEPTMPDB_PAMPA_000897,406
CYCPEPTMPDB_PAMPA_001850,407
CYCPEPTMPDB_PAMPA_006681,408
CYCPEPTMPDB_PAMPA_006843,408
CYCPEPTMPDB_PAMPA_006682,408
CYCPEPTMPDB_PAMPA_006683,408
CYCPEPTMPDB_PAMPA_006858,408
CYCPEPTMPDB_PAMPA_001855,408
CYCPEPTMPDB_PAMPA_006684,409
CYCPEPTMPDB_PAMPA_006844,409
CYCPEPTMPDB_PAMPA_006845,409
CYCPEPTMPDB_PAMPA_006846,409
CYCPEPTMPDB_PAMPA_006847,409
CYCPEPTMPDB_PAMPA_006848,409
CYCPEPTMPDB_PAMPA_006849,409
CYCPEPTMPDB_PAMPA_006850,409
CYCPEPTMPDB_PAMPA_006851,409
CYCPEPTMPDB_PAMPA_006852,409
CYCPEPTMPDB_PAMPA_006853,409
CYCPEPTMPDB_PAMPA_006854,409
CYCPEPTMPDB_PAMPA_006855,409
CYCPEPTMPDB_PAMPA_006856,409
CYCPEPTMPDB_PAMPA_006857,409
CYCPEPTMPDB_PAMPA_006859,409
CYCPEPTMPDB_PAMPA_006860,409
CYCPEPTMPDB_PAMPA_006861,409
CYCPEPTMPDB_PAMPA_006862,409
CYCPEPTMPDB_PAMPA_006863,409
CYCPEPTMPDB_PAMPA_006864,409
CYCPEPTMPDB_PAMPA_006865,409
CYCPEPTMPDB_PAMPA_006823,410
CYCPEPTMPDB_PAMPA_006824,410
CYCPEPTMPDB_PAMPA_006825,411
CYCPEPTMPDB_PAMPA_006826,411
CYCPEPTMPDB_PAMPA_006837,411
CYCPEPTMPDB_PAMPA_006827,412
CYCPEPTMPDB_PAMPA_006828,413
CYCPEPTMPDB_PAMPA_006829,414
CYCPEPTMPDB_PAMPA_006830,415
CYCPEPTMPDB_PAMPA_006831,416
CYCPEPTMPDB_PAMPA_006832,417
CYCPEPTMPDB_PAMPA_006833,418
CYCPEPTMPDB_PAMPA_006834,419
