Experiment,Split,Estimator,Feature set,Seed,Search budget,Status,Reason
estimator_matrix,random,Random Forest,Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Site,0,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Site,1,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Site,2,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Site,3,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Site,4,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Site,0,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Site,1,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Site,2,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Site,3,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Site,4,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Site,0,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Site,1,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Site,2,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Site,3,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Site,4,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Site,0,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Site,1,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Site,2,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Site,3,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Site,4,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Site,0,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Site,1,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Site,2,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Site,3,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Site,4,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Context,0,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Context,1,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Context,2,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Context,3,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Context,4,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Context,0,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Context,1,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Context,2,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Context,3,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Context,4,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Context,0,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Context,1,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Context,2,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Context,3,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Context,4,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Context,0,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Context,1,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Context,2,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Context,3,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Context,4,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Context,0,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Context,1,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Context,2,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Context,3,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Context,4,10,newly completed run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Site + Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Site + Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Site + Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Site + Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Site + Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Site + Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Site + Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Site + Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Site + Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Site + Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Site + Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Site + Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Site + Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Site + Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Site + Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Site + Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Site + Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Site + Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Site + Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Site + Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Site + Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Site + Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Site + Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Site + Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Site + Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Site + Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Site + Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Site + Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Site + Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Ridge,Chemistry + Site + Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Site + Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Site + Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Site + Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Site + Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,ElasticNet,Chemistry + Site + Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Site + Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Site + Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Site + Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Site + Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,Random Forest,Chemistry + Site + Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Site + Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Site + Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Site + Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Site + Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,RBF-SVR,Chemistry + Site + Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Site + Context,0,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Site + Context,1,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Site + Context,2,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Site + Context,3,10,valid reusable run,Validated metrics and protocol-compatible search budget.
estimator_matrix,random,XGBoost,Chemistry + Site + Context,4,10,valid reusable run,Validated metrics and protocol-compatible search budget.
